time,ID,x,y,SEQ,SPEED,ID,time,distance
7.8,7,-82.84537,34.681549,77,3.728702,6,7.7,0.00045521
7.8,8,-82.846779,34.677439,77,1.671936,7,7.7,0.000198718
7.9,1,-82.847088,34.681355,78,13.850601,0,7.8,0.001375591
7.9,2,-82.847996,34.681649,78,13.651057,1,7.8,0.512679588
7.9,2,-82.846547,34.677195,78,11.572227,1,7.8,0.511367021
7.9,5,-82.844276,34.683617,78,7.660749,4,7.8,0.000669117
7.9,6,-82.845189,34.682772,78,5.807058,5,7.8,0.000546467
7.9,7,-82.845375,34.681549,78,3.864666,6,7.8,0.000366171
7.9,8,-82.846777,34.677438,78,1.89264,7,7.8,0.000226183
8,1,-82.847073,34.681356,79,13.772022,0,7.9,0.001388633
8,2,-82.847995,34.681637,79,13.836904,1,7.9,0.512415879
8,2,-82.846539,34.677187,79,11.789647,1,7.9,0.511079879
8,5,-82.844275,34.683611,79,7.818051,4,7.9,0.000796444
8,6,-82.845183,34.682772,79,5.976931,5,7.9,0.000646017
8,7,-82.845379,34.681549,79,4.04611,6,7.9,0.000378277
8,8,-82.846776,34.677436,79,2.047757,7,7.9,0.000198718
8.1,1,-82.847058,34.681358,80,13.8482,0,8,0.001375591
8.1,2,-82.847993,34.681625,80,14.041297,1,8,0.512236677
8.1,2,-82.846531,34.677178,80,11.925152,1,8,0.510793556
8.1,5,-82.844273,34.683604,80,8.067858,4,8,0.000930726
8.1,6,-82.845176,34.682773,80,6.234798,5,8,0.000639004
8.1,7,-82.845383,34.681548,80,4.195303,6,8,0.00045521
8.1,8,-82.846774,34.677435,80,2.204981,7,8,0.000226183
8.1,9,-82.844994,34.679388,80,0,8,8,0
8.2,1,-82.847043,34.681359,81,13.871289,0,8.1,0.001388633
8.2,2,-82.847991,34.681612,81,14.300279,1,8.1,0.511843605
8.2,2,-82.846523,34.67717,81,12.056608,1,8.1,0.510400748
8.2,5,-82.84427,34.683596,81,8.320469,4,8.1,0.000796444
8.2,6,-82.845169,34.682773,81,6.449439,5,8.1,0.000639004
8.2,7,-82.845388,34.681548,81,4.447101,6,8.1,0.000465004
8.2,8,-82.846773,34.677433,81,2.359565,7,8.1,0.000274845
8.2,9,-82.844994,34.679388,81,0.256758,8,8.1,9.49E-05
8.3,1,-82.847028,34.681361,82,13.773993,0,8.2,0.001375591
8.3,2,-82.847989,34.681599,82,14.490031,1,8.2,0.511558698
8.3,2,-82.846515,34.677161,82,12.227854,1,8.2,0.5101161
8.3,5,-82.844268,34.683589,82,8.551812,4,8.2,0.000907519
8.3,6,-82.845162,34.682773,82,6.703835,5,8.2,0.000732331
8.3,7,-82.845393,34.681547,82,4.608097,6,8.2,0.000546475
8.3,8,-82.846771,34.677431,82,2.527963,7,8.2,0.000274845
8.3,9,-82.844994,34.679387,82,0.493511,8,8.2,7.81E-05
8.4,1,-82.847013,34.681362,83,13.783945,0,8.3,0.001375591
8.4,2,-82.847987,34.681586,83,14.716059,1,8.3,0.511298815
8.4,2,-82.846506,34.677152,83,12.399583,1,8.3,0.5097493
8.4,5,-82.844266,34.683581,83,8.792382,4,8.3,0.000890572
8.4,6,-82.845154,34.682773,83,6.886352,5,8.3,0.000738459
8.4,7,-82.845399,34.681547,83,4.832442,6,8.3,0.000465004
8.4,8,-82.846769,34.677429,83,2.73848,7,8.3,0.000274845
8.4,9,-82.844993,34.679387,83,0.734199,8,8.3,9.49E-05
8.5,1,-82.846998,34.681363,84,13.781184,0,8.4,0.001388633
8.5,2,-82.847985,34.681572,84,14.965171,1,8.4,0.510908459
8.5,2,-82.846498,34.677143,84,12.6489,1,8.4,0.509466435
8.5,5,-82.844266,34.683573,84,8.997412,4,8.4,0.000893987
8.5,6,-82.845146,34.682774,84,7.131728,5,8.4,0.000732331
8.5,7,-82.845404,34.681546,84,4.975354,6,8.4,0.000465004
8.5,8,-82.846767,34.677427,84,2.972125,7,8.4,0.000274845
8.5,9,-82.844993,34.679386,84,0.945753,8,8.4,9.49E-05
8.6,1,-82.846983,34.681365,85,13.822332,0,8.5,0.001375591
8.6,2,-82.847983,34.681559,85,15.110586,1,8.5,0.510650611
8.6,2,-82.846489,34.677134,85,12.839929,1,8.5,0.509101761
8.6,5,-82.844265,34.683565,85,9.210757,4,8.5,0.001000205
8.6,6,-82.845138,34.682774,85,7.383894,5,8.5,0.000732331
8.6,7,-82.845409,34.681545,85,5.124306,6,8.5,0.000546475
8.6,8,-82.846765,34.677425,85,3.216582,7,8.5,0.000274845
8.6,9,-82.844993,34.679385,85,1.189577,8,8.5,0.000212282
8.7,1,-82.846968,34.681366,86,13.763793,0,8.6,0.001388633
8.7,2,-82.847981,34.681545,86,15.339764,1,8.6,0.510286727
